,longitude,latitude,center_mslp,lon_smoothed,lat_smoothed,msl_smoothed,x_stere,y_stere
2020-01-31 12:00:00,41.5,85.75,98632.859375,41.45,85.7,98623.5265625,-349295.7340267373,-308487.7688550256
2020-01-31 13:00:00,44.0,86.0,98565.5,44.7,86.0,98554.7046875,-308116.1080420276,-304906.3008818105
2020-01-31 14:00:00,46.25,86.25,98475.2734375,47.6,86.25,98484.046875,-274014.0118902296,-300083.6334151946
2020-01-31 15:00:00,52.25,86.5,98413.828125,50.85,86.5,98411.615625,-239446.10367662445,-294113.5850807974
2020-01-31 16:00:00,54.0,86.75,98332.7734375,55.0,86.75,98337.878125,-201987.4680333124,-288467.99985866173
2020-01-31 17:00:00,57.75,87.0,98270.703125,58.75,86.95,98255.6453125,-171440.6674353225,-282525.4760167277
2020-01-31 18:00:00,64.75,87.25,98196.8125,63.05,87.15,98168.590625,-139949.3696124043,-275259.66950100765
2020-01-31 19:00:00,65.0,87.25,98064.109375,67.8,87.35,98080.728125,-108484.33030192266,-265832.73654789187
2020-01-31 20:00:00,73.75,87.5,97978.5546875,72.05,87.5,97982.5046875,-83475.36819978918,-257675.67426655462
2020-01-31 21:00:00,77.75,87.75,97893.4609375,76.6,87.6,97889.009375,-60259.56582506443,-252943.18171673056
2020-01-31 22:00:00,79.0,87.75,97779.5859375,81.6,87.7,97811.6625,-36401.691895246106,-246511.7749775076
2020-01-31 23:00:00,87.5,87.75,97729.3359375,85.95,87.75,97737.8,-17216.495491597798,-243157.79826841704
2020-02-01 00:00:00,90.0,87.75,97677.375,91.65,87.75,97666.8609375,7019.001938106714,-243665.45957018455
2020-02-01 01:00:00,95.5,87.75,97609.2421875,98.25,87.75,97612.6296875,34978.69896354341,-241243.88737245594
2020-02-01 02:00:00,106.25,87.75,97538.765625,105.3,87.75,97565.8359375,64323.41852320598,-235126.8177074765
2020-02-01 03:00:00,112.0,87.75,97508.4296875,112.4,87.7,97516.7703125,94957.00196537028,-230382.95543105277
2020-02-01 04:00:00,122.75,87.75,97495.3671875,120.3,87.65,97477.940625,128454.47587389562,-219823.48971581677
2020-02-01 05:00:00,125.5,87.5,97432.046875,127.1,87.55,97450.7484375,160115.97957743026,-211711.27480658202
2020-02-01 06:00:00,135.0,87.5,97415.09375,133.75,87.45,97429.809375,191050.1414301283,-199573.581382963
2020-02-01 07:00:00,140.25,87.25,97402.8046875,139.85,87.3,97414.096875,223602.30856719482,-188624.3684414242
2020-02-01 08:00:00,145.25,87.25,97403.734375,145.5,87.2,97402.3984375,250018.8184912201,-171833.1732410885
2020-02-01 09:00:00,153.25,87.0,97416.8046875,150.45,87.05,97399.00625,278057.2532968865,-157637.70595054707
2020-02-01 10:00:00,153.75,87.0,97373.5546875,155.0,86.9,97401.9,304422.7382228006,-141954.65414980633
2020-02-01 11:00:00,159.75,86.75,97398.1328125,158.8,86.75,97412.9140625,328321.93245724356,-127347.68491223725
2020-02-01 12:00:00,163.0,86.5,97417.2734375,161.85,86.6,97426.728125,350085.7944729192,-114763.91730258222
2020-02-01 13:00:00,164.25,86.5,97458.8046875,164.9,86.4,97457.40625,376632.3366965966,-101623.2036745876
2020-02-01 14:00:00,168.5,86.25,97485.875,167.45,86.25,97486.2796875,396657.24640073697,-88300.02623798478
2020-02-01 15:00:00,169.0,86.0,97526.9453125,169.45,86.05,97522.028125,420819.5540571055,-78374.2048247107
2020-02-01 16:00:00,172.5,86.0,97542.5,171.3,85.85,97557.9953125,444572.23885811324,-68029.11217379732
2020-02-01 17:00:00,173.0,85.5,97596.015625,172.4,85.65,97583.85,467299.8171259749,-62351.107777437486
2020-02-01 18:00:00,173.5,85.5,97638.640625,173.95,85.45,97618.04375,490391.3952600997,-51974.927092259866
2020-02-01 19:00:00,174.0,85.25,97615.1484375,174.85,85.25,97652.734375,512759.4256685684,-46213.625980478195
2020-02-01 20:00:00,176.75,85.0,97697.9140625,175.65,85.15,97686.803125,524174.4222400384,-39872.91768238085
2020-02-01 21:00:00,177.0,85.0,97715.953125,176.15,85.0,97721.1515625,540743.6191458957,-36390.14876118357
2020-02-01 22:00:00,177.0,85.0,97766.359375,177.05,84.85,97765.64375,557506.6515419057,-28729.85514232103
2020-02-01 23:00:00,176.0,84.75,97810.3828125,177.25,84.7,97809.8859375,573866.3550103308,-27564.777705305707
2020-02-02 00:00:00,178.5,84.5,97837.609375,177.85,84.5,97855.0625,595819.9648111003,-22368.3932096933
2020-02-02 01:00:00,177.75,84.25,97919.125,178.45,84.25,97904.5015625,623156.1631074138,-16862.110215618683
2020-02-02 02:00:00,-180.0,84.0,97941.8359375,179.25,84.0,97947.065625,650478.7984518366,-8515.233920216542
2020-02-02 03:00:00,-180.0,83.75,98013.5546875,179.95,83.7,97996.3484375,683122.4868707323,-596.136980843404
2020-02-02 04:00:00,-180.0,83.5,98023.203125,180.8,83.4,98026.7765625,715650.2118025172,9993.011395620684
2020-02-02 05:00:00,-178.0,83.0,98084.0234375,181.6,83.15,98064.5171875,742601.8923766774,20742.749040252646
2020-02-02 06:00:00,-178.0,82.75,98071.265625,182.4,82.9,98100.0171875,769394.4216964858,32247.18064039426
2020-02-02 07:00:00,-176.0,82.75,98130.5390625,183.6,82.7,98142.2375,790255.2013170806,49718.643036329806
2020-02-02 08:00:00,-176.0,82.5,98191.0546875,184.35,82.5,98184.4578125,811226.4575592909,61708.401615252034
2020-02-02 09:00:00,-174.0,82.5,98234.3046875,185.45,82.35,98237.1015625,826135.9932340854,78820.28551339456
2020-02-02 10:00:00,-174.25,82.0,98295.125,186.1,82.15,98282.5578125,846826.3159538037,90499.62598617272
2020-02-02 11:00:00,-172.5,82.0,98334.484375,186.95,81.95,98316.0671875,866996.5257565152,105685.86611214842
2020-02-02 12:00:00,-172.75,81.75,98357.8203125,187.4,81.7,98349.9171875,893127.6421353306,115997.02789813954
2020-02-02 13:00:00,-171.75,81.5,98358.6015625,188.1,81.5,98378.6046875,913204.1905733247,129968.20273883089
2020-02-02 14:00:00,-171.75,81.25,98403.5546875,188.6,81.3,98403.371875,933573.3501570479,141189.69467261664
